"filename", "language", "C#", "Markdown", "XML", "JSON", "YAML", "comment", "blank", "total"
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Domain\TraderForge.Domain.csproj", "XML", 0, 0, 12, 0, 0, 0, 4, 16
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Account.cs", "C#", 5, 0, 0, 0, 0, 0, 3, 8
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\20260421171958_AddMarketAssetTable.Designer.cs", "C#", 41, 0, 0, 0, 0, 2, 11, 54
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\20260421171958_AddMarketAssetTable.cs", "C#", 31, 0, 0, 0, 0, 3, 4, 38
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\20260421174331_InitialIdentitySetup.Designer.cs", "C#", 206, 0, 0, 0, 0, 2, 70, 278
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\20260421174331_InitialIdentitySetup.cs", "C#", 198, 0, 0, 0, 0, 3, 23, 224
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\20260421183124_AddTraderTable.Designer.cs", "C#", 223, 0, 0, 0, 0, 2, 77, 302
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\20260421183124_AddTraderTable.cs", "C#", 31, 0, 0, 0, 0, 3, 4, 38
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\20260422160223_AddAdministratorTable.Designer.cs", "C#", 239, 0, 0, 0, 0, 2, 83, 324
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\20260422160223_AddAdministratorTable.cs", "C#", 29, 0, 0, 0, 0, 3, 4, 36
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\20260423173920_AddMarketAssetsTable.Designer.cs", "C#", 44, 0, 0, 0, 0, 2, 12, 58
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\20260423173920_AddMarketAssetsTable.cs", "C#", 38, 0, 0, 0, 0, 3, 6, 47
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Migrations\ApplicationDbContextModelSnapshot.cs", "C#", 256, 0, 0, 0, 0, 1, 5, 262
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Persistence\ApplicationDbContext.cs", "C#", 18, 0, 0, 0, 0, 1, 2, 21
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Repositories\AdministratorRepository.cs", "C#", 26, 0, 0, 0, 0, 0, 6, 32
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Repositories\MarketAssetRepository.cs", "C#", 19, 0, 0, 0, 0, 0, 5, 24
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Repositories\TraderRepository.cs", "C#", 22, 0, 0, 0, 0, 0, 5, 27
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Services\BackgroundMarketPollingService.cs", "C#", 71, 0, 0, 0, 0, 0, 10, 81
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Services\BinanceMarketProvider.cs", "C#", 20, 0, 0, 0, 0, 0, 6, 26
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Services\CachedMarketService.cs", "C#", 17, 0, 0, 0, 0, 0, 5, 22
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\Services\IdentityService.cs", "C#", 107, 0, 0, 0, 0, 0, 24, 131
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\TraderForge.Infrastructure\TraderForge.Infrastructure.csproj", "XML", 0, 0, 23, 0, 0, 0, 4, 27
"c:\uct\Trading forge\TrandingForgeCode\Trading-Forge-System\Trading-Forge-System\docker-compose.yml", "YAML", 0, 0, 0, 0, 15, 0, 2, 17
"Total", "-", 2055, 27, 68, 48, 15, 36, 496, 2745
